match_id,match_date,tournament_year,stage,home_team,away_team,predicted_result,actual_result,predicted_score,actual_score,confidence_score,upset_probability,market_favorite,model_favorite,is_conflict_match,odds_home,odds_draw,odds_away,handicap,predicted_handicap_result,actual_handicap_result,result_hit,score_hit,handicap_hit,roi,profit,time_safe_valid,time_safe_note
343,2022-11-30T18:00:00,2022,Matchday 11,Australia,Denmark,Away Win,Home Win,0-2,1-0,45.11,54.89,Away Win,Away Win,False,6.96,5.06,1.45,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
344,2022-11-30T18:00:00,2022,Matchday 11,Tunisia,France,Away Win,Home Win,1-2,1-0,57.75,42.25,Away Win,Away Win,False,6.44,3.94,1.6,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
337,2022-11-30T22:00:00,2022,Matchday 11,Poland,Argentina,Away Win,Away Win,0-2,0-2,45.39,54.61,Away Win,Away Win,False,7.84,4.62,1.45,,,,True,True,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
338,2022-11-30T22:00:00,2022,Matchday 11,Saudi Arabia,Mexico,Away Win,Away Win,0-2,1-2,48.02,51.98,Away Win,Away Win,False,5.3,4.32,1.63,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
355,2022-12-01T18:00:00,2022,Matchday 12,Croatia,Belgium,Home Win,Draw,2-1,0-0,35.97,64.89,Away Win,Home Win,True,3.08,3.43,2.41,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
356,2022-12-01T18:00:00,2022,Matchday 12,Canada,Morocco,Draw,Away Win,0-0,1-2,30.45,56.93,Away Win,Away Win,False,5.06,3.49,1.83,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
349,2022-12-01T22:00:00,2022,Matchday 12,Japan,Spain,Away Win,Home Win,1-2,2-1,49.42,50.58,Away Win,Away Win,False,7.39,4.57,1.47,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
350,2022-12-01T22:00:00,2022,Matchday 12,Costa Rica,Germany,Away Win,Away Win,0-2,2-4,53.54,46.46,Away Win,Away Win,False,22.48,11.48,1.09,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
367,2022-12-02T18:00:00,2022,Matchday 13,Ghana,Uruguay,Away Win,Away Win,0-2,0-2,41.02,58.98,Away Win,Away Win,False,4.44,3.88,1.83,,,,True,True,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
368,2022-12-02T18:00:00,2022,Matchday 13,South Korea,Portugal,Away Win,Home Win,1-3,2-1,50.74,49.26,Away Win,Away Win,False,4.38,3.85,1.83,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
361,2022-12-02T22:00:00,2022,Matchday 13,Serbia,Switzerland,Away Win,Away Win,0-2,2-3,38.36,67.76,Home Win,Away Win,True,2.63,3.39,2.82,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
362,2022-12-02T22:00:00,2022,Matchday 13,Cameroon,Brazil,Away Win,Home Win,1-2,1-0,60.94,39.06,Away Win,Away Win,False,8.37,5.37,1.37,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
369,2022-12-03T18:00:00,2022,Round of 16,Netherlands,USA,Home Win,Home Win,1-0,3-1,52.57,47.43,Home Win,Home Win,False,1.91,3.43,4.63,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
370,2022-12-03T22:00:00,2022,Round of 16,Argentina,Australia,Home Win,Home Win,2-1,2-1,52.6,47.4,Home Win,Home Win,False,1.3,6.37,9.35,,,,True,True,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
371,2022-12-04T18:00:00,2022,Round of 16,France,Poland,Home Win,Home Win,2-1,3-1,50.03,49.97,Home Win,Home Win,False,1.39,4.9,9.16,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
372,2022-12-04T22:00:00,2022,Round of 16,England,Senegal,Home Win,Home Win,2-1,3-0,42.03,57.97,Home Win,Home Win,False,1.62,3.75,6.72,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
373,2022-12-05T18:00:00,2022,Round of 16,Japan,Croatia,Away Win,Draw,0-2,1-1,43.14,56.86,Away Win,Away Win,False,3.86,3.31,2.11,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
374,2022-12-05T22:00:00,2022,Round of 16,Brazil,South Korea,Home Win,Home Win,2-1,4-1,55.27,44.73,Home Win,Home Win,False,1.23,6.82,13.38,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
375,2022-12-06T18:00:00,2022,Round of 16,Morocco,Spain,Away Win,Draw,1-2,0-0,45.07,54.93,Away Win,Away Win,False,6.15,3.85,1.63,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
376,2022-12-06T22:00:00,2022,Round of 16,Portugal,Switzerland,Home Win,Home Win,4-2,6-1,39.63,60.37,Home Win,Home Win,False,1.88,3.62,4.47,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
377,2022-12-09T18:00:00,2022,Quarter-finals,Croatia,Brazil,Away Win,Draw,1-2,0-0,45.82,54.18,Away Win,Away Win,False,8.65,4.82,1.41,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
378,2022-12-09T22:00:00,2022,Quarter-finals,Netherlands,Argentina,Draw,Draw,1-1,2-2,30.81,71.34,Away Win,Home Win,True,3.86,3.15,2.2,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
379,2022-12-10T18:00:00,2022,Quarter-finals,Morocco,Portugal,Away Win,Home Win,1-2,1-0,43.38,56.62,Away Win,Away Win,False,6.21,3.86,1.63,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
380,2022-12-10T22:00:00,2022,Quarter-finals,England,France,Draw,Away Win,2-2,1-2,32.23,63.8,Away Win,Away Win,False,3.07,3.14,2.55,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
381,2022-12-13T22:00:00,2022,Semi-finals,Argentina,Croatia,Home Win,Home Win,2-1,3-0,39.01,60.99,Home Win,Home Win,False,2.0,3.11,4.77,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
382,2022-12-14T22:00:00,2022,Semi-finals,France,Morocco,Home Win,Home Win,2-0,2-0,49.4,50.6,Home Win,Home Win,False,1.6,3.89,6.59,,,,True,True,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
383,2022-12-17T18:00:00,2022,Match for third place,Croatia,Morocco,Draw,Home Win,0-0,2-1,31.38,62.55,Home Win,Home Win,False,2.33,3.58,3.09,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
384,2022-12-18T18:00:00,2022,Final,Argentina,France,Draw,Draw,3-3,2-2,31.24,68.81,Home Win,Away Win,True,2.68,3.14,2.93,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
